time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0,002959;0,0702;0,0565;-0,7610;0,766
0,004122;0,7878;0,2442;-0,9755;1,277
0,012944;0,5088;0,3438;-0,9897;1,165
0,023030;-0,1483;0,3404;-0,3470;0,508
0,032716;-0,2674;0,3762;0,4054;0,614
0,042550;-0,1568;0,3513;0,7898;0,879
0,053352;-0,0115;0,2484;0,9469;0,979
0,063113;0,2635;0,1302;1,0290;1,070
0,072903;0,8594;0,0401;0,7352;1,132
0,082625;0,9586;0,0120;0,6583;1,163
0,092709;0,9819;-0,0925;0,8012;1,271
0,102730;0,9139;-0,1172;0,7480;1,187
0,113261;1,0476;-0,0658;0,4835;1,156
0,122627;1,0246;-0,0439;0,2303;1,051
0,132696;0,9360;-0,0256;0,0997;0,942
0,142569;0,9173;-0,0527;0,2694;0,957
0,153473;0,8359;-0,0848;0,6062;1,036
0,162917;0,7117;-0,1048;0,7937;1,071
0,172765;0,6921;-0,1007;0,9116;1,149
0,182696;0,7076;-0,0401;0,8360;1,096
0,192898;0,6866;0,0035;0,6825;0,968
0,202595;0,5937;0,0578;0,2684;0,654
0,212979;0,4810;0,0721;-0,1948;0,524
0,222958;0,3635;-0,0182;-0,8160;0,893
0,232598;0,5900;0,1001;-0,2046;0,632
0,242549;0,4773;0,2312;0,0078;0,530
0,252921;0,0493;0,2208;0,1775;0,288
0,263153;0,0042;0,1966;0,0992;0,220
0,272939;0,0522;0,1798;0,0099;0,187
0,282801;0,0335;0,1516;-0,0834;0,176
0,292733;-0,0022;0,1891;-0,0850;0,207
0,302868;-0,0713;0,1917;0,0851;0,221
0,312609;-0,0201;0,1981;0,1750;0,265
0,323730;0,0911;0,1523;0,1269;0,218
0,332830;0,0069;0,0702;-0,0021;0,071
0,342816;0,0907;0,0286;0,0011;0,095
0,352829;0,1659;-0,0499;0,0162;0,174
0,363082;0,1958;-0,0991;0,0412;0,223
0,372870;0,2412;-0,0981;0,0629;0,268
0,382732;0,2439;-0,0787;0,0769;0,268
0,392925;0,2456;-0,0772;0,0252;0,259
0,402680;0,2248;-0,0900;0,0143;0,243
0,412714;0,1721;-0,0695;-0,0490;0,192
0,422822;0,2617;-0,0138;-0,1429;0,298
0,432825;0,3331;0,0520;-0,2479;0,419
0,442736;0,2940;0,1250;-0,3423;0,468
0,452993;0,3200;0,1523;-0,4091;0,541
0,462861;0,4326;0,1634;-0,3793;0,598
0,472813;0,4355;0,1861;-0,3036;0,563
0,482728;0,3050;0,2544;-0,2997;0,498
0,492970;0,3499;0,3561;-0,2811;0,573
0,502758;0,2566;0,4197;-0,2910;0,572
0,512831;0,0063;0,4543;-0,2984;0,544
0,522681;-0,2053;0,5149;-0,2864;0,624
0,533021;-0,4413;0,6623;-0,2667;0,839
0,543046;-0,4012;0,7355;-0,2151;0,865
0,553559;-0,7219;0,8115;-0,2029;1,105
0,566160;-0,6705;0,9025;-0,6608;1,304
0,574021;-0,7745;0,8779;-0,7561;1,394
0,584129;-1,6281;1,1671;-0,6549;2,108
0,592905;-0,7455;0,8738;-0,5590;1,277
0,602997;-0,1782;0,2263;-0,7221;0,777
0,614108;-0,5569;-0,1952;-0,6700;0,893
0,623288;-0,1853;-0,6433;-0,2009;0,699
0,633918;-0,1780;-0,7794;-0,5865;0,992
0,644272;-0,2841;-0,6182;-1,3134;1,479
0,653234;0,2303;-0,6780;-2,0135;2,137
0,663039;0,2278;-0,5976;-2,0709;2,167
0,674686;0,1082;-0,3357;-1,8889;1,922
0,683311;-0,2675;-0,1980;-1,0225;1,075
